initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
5,10,19,11,246.0909090909091,-215.42857142857142,11.99
5,20,19,10,268.2,-208.125,10.17
5,30,19,9,272.3333333333333,-199.55555555555554,6.550000000000001
5,40,20,9,286.0,-194.3,6.3100000000000005
5,50,20,9,286.0,-180.2,7.720000000000001
5,60,20,9,286.0,-170.8,8.66
5,70,20,9,286.0,-166.5,9.09
5,80,20,8,292.875,-153.27272727272728,6.569999999999999
5,90,20,8,292.875,-140.0909090909091,8.02
5,100,20,8,292.875,-128.41666666666666,8.02
5,110,20,7,308.14285714285717,-121.07692307692308,5.83
5,120,20,7,297.85714285714283,-123.38461538461539,4.81
5,130,20,8,267.125,-133.5,5.35
5,140,20,7,300.14285714285717,-123.84615384615384,4.91
5,150,20,7,300.14285714285717,-122.3076923076923,5.11
5,160,20,8,281.875,-133.33333333333334,6.550000000000001
5,170,20,7,305.57142857142856,-120.0,5.79
5,180,20,7,302.2857142857143,-124.15384615384616,5.0200000000000005
5,190,21,8,275.0,-126.3076923076923,5.58
6,10,18,11,231.27272727272728,-250.5,10.41
6,20,19,11,246.0909090909091,-241.57142857142858,10.16
6,30,19,11,246.0909090909091,-241.57142857142858,10.16
6,40,19,10,268.2,-231.0,8.34
6,50,19,9,272.3333333333333,-194.11111111111111,7.04
6,60,19,9,272.3333333333333,-197.11111111111111,6.77
6,70,20,9,286.0,-191.6,6.58
6,80,20,9,286.0,-175.0,8.24
6,90,20,9,266.55555555555554,-163.8,7.61
6,100,20,8,292.875,-150.8181818181818,6.84
6,110,20,9,272.22222222222223,-137.63636363636363,9.36
6,120,20,8,292.875,-126.33333333333333,8.27
6,130,20,7,308.14285714285717,-124.07692307692308,5.4399999999999995
6,140,20,8,264.75,-130.33333333333334,5.54
6,150,20,8,267.125,-130.33333333333334,5.7299999999999995
6,160,20,7,300.14285714285717,-121.6923076923077,5.19
6,170,20,7,300.14285714285717,-121.6923076923077,5.19
6,180,20,8,277.375,-129.66666666666666,6.63
6,190,20,8,275.0,-132.25,6.13
7,10,18,11,231.27272727272728,-258.3333333333333,9.94
7,20,18,11,231.27272727272728,-250.5,10.41
7,30,19,11,246.0909090909091,-241.57142857142858,10.16
7,40,19,11,246.0909090909091,-241.57142857142858,10.16
7,50,19,11,246.0909090909091,-241.57142857142858,10.16
7,60,19,9,272.3333333333333,-217.44444444444446,4.9399999999999995
