datetime,open,high,low,close,tick_volume,spread,real_volume
2024-04-16 12:00:00,126220.0,126600.0,126200.0,126590.0,10906,5,47410
2024-04-16 12:30:00,126590.0,126930.0,126425.0,126780.0,10210,5,38814
2024-04-16 13:00:00,126785.0,126795.0,126495.0,126555.0,8856,5,34496
2024-04-16 13:30:00,126550.0,126640.0,126400.0,126545.0,10267,5,39947
2024-04-16 14:00:00,126545.0,126580.0,126300.0,126315.0,10146,5,42831
2024-04-16 14:30:00,126315.0,126480.0,125990.0,126360.0,17050,5,69246
2024-04-16 15:00:00,126355.0,126900.0,126125.0,126250.0,17249,5,73243
2024-04-16 15:30:00,126250.0,126615.0,126190.0,126590.0,11483,5,39323
2024-04-16 16:00:00,126595.0,126660.0,126370.0,126440.0,12116,5,36082
2024-04-16 16:30:00,126440.0,126440.0,126115.0,126150.0,13578,5,39855
2024-04-16 17:00:00,126150.0,126220.0,126010.0,126180.0,5919,5,28322
2024-04-16 17:30:00,126190.0,126195.0,125820.0,125955.0,4374,5,25534
2024-04-16 18:00:00,125950.0,125950.0,125800.0,125800.0,1151,5,5101
2024-04-17 09:00:00,126690.0,127175.0,126485.0,126680.0,360229,5,1116098
2024-04-17 09:30:00,126680.0,126855.0,126525.0,126705.0,269216,5,881517
2024-04-17 10:00:00,126710.0,127060.0,126615.0,126775.0,393346,5,1375602
2024-04-17 10:30:00,126775.0,126835.0,126000.0,126135.0,609364,5,2229351
2024-04-17 11:00:00,126135.0,126240.0,125820.0,126040.0,370202,5,1394734
2024-04-17 11:30:00,126040.0,126160.0,125785.0,125925.0,304112,5,1108371
2024-04-17 12:00:00,125915.0,126340.0,125905.0,125965.0,277737,5,1031354
2024-04-17 12:30:00,125960.0,126205.0,125765.0,126110.0,273182,5,1091426
2024-04-17 13:00:00,126110.0,126125.0,125500.0,125635.0,298010,5,1210162
2024-04-17 13:30:00,125640.0,125715.0,125280.0,125680.0,283850,5,1112970
2024-04-17 14:00:00,125680.0,126075.0,125570.0,125845.0,302765,5,1202778
2024-04-17 14:30:00,125840.0,126205.0,125815.0,126010.0,235759,5,910112
2024-04-17 15:00:00,126010.0,126075.0,125670.0,125765.0,195519,5,744789
2024-04-17 15:30:00,125770.0,126135.0,125645.0,125735.0,249291,5,1004622
2024-04-17 16:00:00,125735.0,125850.0,125565.0,125800.0,194139,5,756953
2024-04-17 16:30:00,125800.0,125985.0,125710.0,125940.0,204626,5,789955
2024-04-17 17:00:00,125935.0,125965.0,125750.0,125765.0,86091,5,343724
2024-04-17 17:30:00,125770.0,125785.0,125660.0,125705.0,67548,5,242791
2024-04-17 18:00:00,125700.0,126010.0,125695.0,125930.0,59779,5,128424
2024-04-18 09:00:00,126370.0,126380.0,125465.0,125545.0,390930,5,1262832
2024-04-18 09:30:00,125540.0,126175.0,125340.0,126170.0,419351,5,1478698
2024-04-18 10:00:00,126170.0,126610.0,126080.0,126325.0,510331,5,1901942
2024-04-18 10:30:00,126330.0,126645.0,126010.0,126575.0,601987,5,2187319
2024-04-18 11:00:00,126570.0,126795.0,126345.0,126775.0,345302,5,1255705
2024-04-18 11:30:00,126775.0,126820.0,126180.0,126275.0,340790,5,1303626
2024-04-18 12:00:00,126275.0,126400.0,125960.0,125990.0,284920,5,1070797
2024-04-18 12:30:00,125990.0,126375.0,125720.0,125770.0,290537,5,1132948
2024-04-18 13:00:00,125765.0,125800.0,125450.0,125520.0,206155,5,844222
2024-04-18 13:30:00,125520.0,125610.0,125185.0,125295.0,285096,5,1170156
2024-04-18 14:00:00,125295.0,125315.0,124990.0,125265.0,259007,5,1070998
2024-04-18 14:30:00,125260.0,125435.0,125065.0,125405.0,234532,5,954070
2024-04-18 15:00:00,125405.0,125630.0,125260.0,125495.0,245834,5,1017035
2024-04-18 15:30:00,125490.0,125605.0,125360.0,125395.0,187238,5,762821
2024-04-18 16:00:00,125395.0,125690.0,125385.0,125645.0,198695,5,822511
2024-04-18 16:30:00,125645.0,125910.0,125640.0,125695.0,179520,5,776419
2024-04-18 17:00:00,125695.0,125865.0,125690.0,125720.0,89660,5,363388
2024-04-18 17:30:00,125725.0,125795.0,125620.0,125780.0,68855,5,264794
2024-04-18 18:00:00,125775.0,125865.0,125710.0,125840.0,50241,5,116567
2024-04-19 09:00:00,125385.0,126220.0,125350.0,126165.0,414506,5,1288963
2024-04-19 09:30:00,126170.0,126250.0,125910.0,125925.0,292838,5,1025284
2024-04-19 10:00:00,125925.0,126210.0,125820.0,126210.0,419973,5,1564874
2024-04-19 10:30:00,126205.0,126835.0,126135.0,126730.0,526181,5,1975699
2024-04-19 11:00:00,126735.0,127065.0,126430.0,127055.0,437126,5,1697727
2024-04-19 11:30:00,127060.0,127170.0,126725.0,126995.0,362311,5,1453605
2024-04-19 12:00:00,127000.0,127135.0,126780.0,126875.0,227949,5,852472
2024-04-19 12:30:00,126875.0,127015.0,126810.0,126845.0,153607,5,563925
2024-04-19 13:00:00,126845.0,126920.0,126615.0,126700.0,190092,5,729778
2024-04-19 13:30:00,126705.0,126910.0,126580.0,126835.0,183550,5,722149
2024-04-19 14:00:00,126840.0,126885.0,126675.0,126700.0,191450,5,755668
2024-04-19 14:30:00,126700.0,126910.0,126625.0,126775.0,199935,5,803234
2024-04-19 15:00:00,126775.0,126785.0,126385.0,126485.0,278446,5,1145488
2024-04-19 15:30:00,126485.0,126655.0,126355.0,126615.0,199465,5,777621
2024-04-19 16:00:00,126610.0,126795.0,126530.0,126670.0,179661,5,708972
2024-04-19 16:30:00,126665.0,126925.0,126545.0,126895.0,196081,5,796104
2024-04-19 17:00:00,126895.0,126900.0,126630.0,126750.0,105603,5,446922
2024-04-19 17:30:00,126745.0,126820.0,126645.0,126720.0,58101,5,227500
2024-04-19 18:00:00,126720.0,126865.0,126675.0,126800.0,45181,5,111934
2024-04-22 09:00:00,127295.0,127315.0,126580.0,127085.0,426454,5,1357253
2024-04-22 09:30:00,127090.0,127145.0,126870.0,126890.0,250921,5,855777
2024-04-22 10:00:00,126890.0,126975.0,126415.0,126515.0,461488,5,1692189
2024-04-22 10:30:00,126510.0,126550.0,126125.0,126370.0,444586,5,1711701
2024-04-22 11:00:00,126375.0,126875.0,126300.0,126700.0,448660,5,1761144
2024-04-22 11:30:00,126700.0,126800.0,126585.0,126670.0,307796,5,1195194
2024-04-22 12:00:00,126670.0,126835.0,126585.0,126820.0,185628,5,692099
2024-04-22 12:30:00,126820.0,126860.0,126600.0,126855.0,152665,5,566323
2024-04-22 13:00:00,126855.0,127345.0,126740.0,127340.0,261516,5,986607
2024-04-22 13:30:00,127335.0,127625.0,127265.0,127615.0,227955,5,914182
2024-04-22 14:00:00,127610.0,127655.0,127175.0,127200.0,217628,5,895728
2024-04-22 14:30:00,127200.0,127345.0,127120.0,127185.0,190561,5,793545
2024-04-22 15:00:00,127185.0,127330.0,127110.0,127265.0,148437,5,614233
2024-04-22 15:30:00,127265.0,127380.0,127180.0,127330.0,160082,5,666772
2024-04-22 16:00:00,127330.0,127400.0,127105.0,127140.0,166190,5,692200
2024-04-22 16:30:00,127140.0,127180.0,126990.0,127165.0,180103,5,764067
2024-04-22 17:00:00,127160.0,127160.0,127010.0,127130.0,80012,5,365537
2024-04-22 17:30:00,127130.0,127275.0,127060.0,127110.0,85733,5,333830
2024-04-22 18:00:00,127110.0,127480.0,127090.0,127385.0,45326,5,110719
2024-04-23 09:00:00,127025.0,127040.0,126345.0,126435.0,405621,5,1273682
2024-04-23 09:30:00,126430.0,126440.0,126170.0,126320.0,267064,5,916671
2024-04-23 10:00:00,126325.0,126325.0,125920.0,126160.0,463668,5,1741186
2024-04-23 10:30:00,126150.0,126350.0,125760.0,126270.0,742959,5,2762464
2024-04-23 11:00:00,126265.0,126475.0,126110.0,126235.0,444848,5,1541925
2024-04-23 11:30:00,126235.0,126485.0,126045.0,126140.0,392031,5,1441372
2024-04-23 12:00:00,126135.0,126395.0,126075.0,126295.0,260022,5,980521
2024-04-23 12:30:00,126295.0,126590.0,126235.0,126490.0,218960,5,812912
2024-04-23 13:00:00,126490.0,126930.0,126425.0,126915.0,215396,5,847732
2024-04-23 13:30:00,126920.0,127220.0,126880.0,127115.0,211298,5,922782
2024-04-23 14:00:00,127115.0,127435.0,127105.0,127175.0,218681,5,906574
2024-04-23 14:30:00,127175.0,127265.0,127040.0,127090.0,152223,5,619678
2024-04-23 15:00:00,127090.0,127140.0,126915.0,127085.0,163995,5,693698
2024-04-23 15:30:00,127085.0,127235.0,127010.0,127225.0,162357,5,652396
2024-04-23 16:00:00,127230.0,127230.0,126775.0,126805.0,201154,5,827683
2024-04-23 16:30:00,126805.0,126875.0,126685.0,126775.0,182473,5,770628
2024-04-23 17:00:00,126770.0,126770.0,126515.0,126650.0,116136,5,490969
2024-04-23 17:30:00,126645.0,126735.0,126615.0,126670.0,62621,5,248285
2024-04-23 18:00:00,126675.0,126750.0,126570.0,126570.0,37576,5,95910
2024-04-24 09:00:00,127040.0,127300.0,126935.0,127110.0,330474,5,957466
2024-04-24 09:30:00,127115.0,127200.0,126710.0,126715.0,343273,5,1135090
2024-04-24 10:00:00,126715.0,126940.0,126595.0,126655.0,417528,5,1452436
2024-04-24 10:30:00,126655.0,126740.0,126375.0,126485.0,531538,5,1872264
2024-04-24 11:00:00,126485.0,126740.0,126340.0,126385.0,437271,5,1648411
2024-04-24 11:30:00,126380.0,126605.0,126255.0,126435.0,330518,5,1269611
2024-04-24 12:00:00,126430.0,126485.0,126145.0,126160.0,249139,5,930011
2024-04-24 12:30:00,126165.0,126230.0,126005.0,126145.0,220175,5,842131
2024-04-24 13:00:00,126140.0,126315.0,126095.0,126260.0,155776,5,603820
